Country,Edition,1.1.1) Internet users,1.1.2) Fixed-line broadband subscribers,1.1.3) Mobile subscribers,1.3.1) Network coverage (min. 2G),1.3.2) Network coverage (min. 3G),1.3.3) Network coverage (min. 4G),2.1.2) Mobile phone cost (prepaid tariff),2.1.3) Mobile phone cost (postpaid tariff),2.1.4) Fixed-line monthly broadband cost,BG2) Population
Morocco,2019,70.2,3.88,123.4,99.6,96,93,2.215,2.536,4.26,36
Morocco,2020,74.2,4.31,124.2,99.7,98,96,2.016,2.536,4.26,36.5
Morocco,2021,80.8,4.8,128,99.7,98.97,98.75,2.169,2.536,4.26,36.9
Mozambique,2017,13.2,0.16,74.5,78,40,0,6.85,11.467,30.48,27.8
Mozambique,2018,13.2,0.17,54,80,75,0,9.43,5.745,23.34,28.6
Mozambique,2019,10.8,0.22,41.5,80,80,0,7.206,6.425,26.1,29.5
Mozambique,2020,10.8,0.24,47.7,85,82,33,6.821,6.425,26.1,30.4
Mozambique,2021,10.8,0.23,48.7,85,82,40,6.294,6.425,26.1,31.3
Myanmar,2017,19.7,0.06,77.8,95,79.3,0,5.9,6.922,17.34,53
Myanmar,2018,24.4,0.17,95.4,94.83,90.45,9.19,1.47,5.181,16.87,53.4
Myanmar,2019,28.3,0.21,89.8,90.45,90.45,29.52,0.664,1.503,12.21,53.7
Myanmar,2020,28.3,0.24,113.8,95.15,94.15,75,0.601,1.503,12.21,54
Myanmar,2021,28.3,0.24,113.8,95.15,94.15,75,0.778,1.503,12.21,54.4
Namibia,2017,24.5,3.04,110.1,100,50,37,3.49,3.894,6.2,2.4
Namibia,2018,29.5,2.73,112.8,100,53,39,4.66,3.107,8.66,2.4
Namibia,2019,34.6,2.74,111.6,100,53,39,2.875,3.813,9.76,2.4
Namibia,2020,34.6,2.53,112.7,100,53,39,1.958,3.813,9.76,2.5
Namibia,2021,34.6,2.54,113.2,100,69,39,2.372,3.813,9.76,2.5
Nepal,2017,12,1.12,101.9,82,50,0,4.6,11.839,10.06,27.3
Nepal,2018,15,0.82,117.8,91.97,54.1,15.47,4.41,9.013,9.73,27.6
Nepal,2019,17.9,1.82,130.6,92.47,54.1,15.47,7.373,10.546,4.01,28.1
Nepal,2020,17.9,2.82,139.4,92.47,54.1,15.47,6.345,10.546,4.01,28.6
Nepal,2021,17.9,2.82,139.4,92.47,54.1,15.47,2.467,10.546,4.01,29.1
Netherlands,2017,90.9,41.5,122.9,100,99,99,0.621,0.307,0.87,17
Netherlands,2018,92.2,42.53,123,100,99,99,0.621,0.566,0.99,17.1
Netherlands,2019,96.2,42.83,120.6,100,99,99,0.621,0.717,1,17.2
Netherlands,2020,94.9,43.42,123.7,100,99,99,0.621,0.717,1,17.3
Netherlands,2021,96.2,43.63,127.3,100,99,99,0.248,0.717,1,17.3
New Zealand,2017,82.8,31.44,121.4,98,98,88,0.727,0.639,1.34,4.7
New Zealand,2018,85.7,32.85,130.9,98,98,90,0.727,0.657,1.8,4.8
New Zealand,2019,87.8,33.67,136.1,98,98,94,0.727,0.692,1.9,4.9
New Zealand,2020,87.8,34.72,134.9,98,98,97,0.727,0.692,1.9,4.9
New Zealand,2021,87.8,34.72,134.9,98,98,97,0.43,0.692,1.9,5
Nicaragua,2017,14,1.87,116.7,89,75,4,8.12,7.539,17.34,6.3
Nicaragua,2018,16.2,2.81,122.9,90,80,40,9.07,8.28,16.55,6.4
Nicaragua,2019,18.6,3.29,128.1,91,85,42,5.181,7.679,15.78,6.5
Nicaragua,2020,18.6,2.98,115.1,91,85,42,5.39,7.679,15.78,6.5
Nicaragua,2021,18.6,3.32,88.4,92,85,42,5.727,7.679,15.78,6.6
Niger,2017,2.6,0.14,44.8,80,10,0,62.563,3.902,116.08,20.8
Niger,2018,3.1,0.04,35.9,89,22,0,62.563,16.189,120.4,21.6
Niger,2019,15.6,0.04,40.6,92,24,0,11.601,8.414,105.18,22.4
Niger,2020,9.8,0.04,40.6,92,24,0,10.817,8.414,105.18,23.3
Niger,2021,9.8,0.04,40.6,92,24,0,7.319,8.414,105.18,24.2
Nigeria,2017,12.5,0.01,83.3,92.1,40,8.64,1.57,7.578,13.64,186
Nigeria,2018,15.2,0.06,83,92.7,54,8.64,1.59,1.917,15.14,190.9
Nigeria,2019,7.5,0.06,75.9,92.7,54,8.64,1.581,1.869,14.76,195.9
Nigeria,2020,7.5,0.04,88.2,94.33,75.48,22.34,1.7,1.869,14.76,201
Nigeria,2021,7.5,0.04,91.9,89.8,74.2,37.8,1.606,1.869,14.76,206.1
Oman,2017,84,5.47,155.8,99,95,86,0.831,0.877,1.23,4.4
Oman,2018,86.1,6.35,153.3,99.01,96.01,88.77,0.831,0.986,2.96,4.6
Oman,2019,88.6,7.48,148.8,99.1,99,92.1,0.831,1.113,3.34,4.6
Oman,2020,88.6,9.17,140,99.3,99.2,96.05,0.831,1.113,3.34,4.6
Oman,2021,94.5,10.24,138.2,99.3,99.3,96.3,1.287,1.113,3.34,4.4
Pakistan,2017,19,0.9,63.1,86,46,16,1.22,5.023,5.86,203.6
Pakistan,2018,22.1,0.81,67,87,87,27,1.12,6.05,5.04,207.9
Pakistan,2019,11.8,0.88,69.5,88,72,67,0.987,7.579,6.26,212.2
Pakistan,2020,11.8,0.85,72.6,88.7,73,68.6,1.086,7.579,6.26,216.6
Pakistan,2021,34.1,0.81,76.4,88.8,76.6,68.73,0.503,7.579,6.26,220.9
Panama,2017,52.7,7.97,144.7,96,79,10,2.169,1.962,1.58,4
Panama,2018,53.9,10.65,127.4,96,92.67,11,2.169,1.873,2,4.1
Panama,2019,64.3,10.74,128.6,96,95,33,2.169,1.741,1.86,4.2
Panama,2020,72.4,12.93,137,96,95,33,2.169,1.741,1.86,4.2
Panama,2021,70.7,12.33,131.9,96,95,49,2.033,1.741,1.86,4.3
Papua New Guinea,2017,6.7,0.19,43.9,89,60,35,9.921,16.221,8.94,8.3
Papua New Guinea,2018,8.8,0.21,45.7,89,60.9,35,9.921,14.044,4.11,8.4
Papua New Guinea,2019,11,0.21,47.6,89,64.35,50,11.266,14.496,4.25,8.6
Papua New Guinea,2020,11,0.21,47.6,89,64.35,50,9.412,14.496,4.25,8.8
Papua New Guinea,2021,11,0.21,47.6,89,64.35,50,4.257,14.496,4.25,8.9
Paraguay,2017,22.8,3.22,110.8,95.36,66,40,0.33,3.077,6.11,6.8
Paraguay,2018,22.5,3.64,110.5,96.8,95.4,40,0.33,2.356,5.1,6.9
Paraguay,2019,20.4,4.23,108.8,98.24,95.97,58.09,3.923,2.377,5.15,7
Paraguay,2020,24.4,4.61,107,98.8,97.7,80.8,1.518,2.377,5.15,7.1
Paraguay,2021,28.3,5.36,110.2,98.97,98.11,96.6,1.711,2.377,5.15,7.1
Peru,2017,23.2,6.56,112.4,74.86,70.8,44,3.6,2.675,2.08,31.5
Peru,2018,26.4,6.86,119.4,74.86,70.8,44.02,1.85,2.619,2.56,31.8
Peru,2019,28.2,7.35,123.8,82.89,73.94,52.24,1.793,2.733,2.98,32.2
Peru,2020,29.8,7.93,131.8,82.89,73.94,52.24,1.66,2.733,2.98,32.7
Peru,2021,35.9,7.93,131.8,82.89,73.94,52.24,1.716,2.733,2.98,33.2
Philippines,2017,36.1,2.84,115.4,99,78,39,2.02,6.982,7.79,103.7
Philippines,2018,39.1,2.88,115.9,99,93,80,1.95,2.19,7.32,105.2
Philippines,2019,42.7,3.23,114.1,99,93,80,1.844,2.017,6.74,106.7
Philippines,2020,42.7,3.55,126.2,99,93,80,1.357,2.017,6.74,108.1
Philippines,2021,17.7,5.48,154.8,99,93,80,1.528,2.017,6.74,109.6
Poland,2017,75.8,19.1,143.4,100,100,100,0.284,0.715,1.19,38
Poland,2018,80.4,19.29,139.5,100,100,100,0.284,0.72,1.2,38
Poland,2019,81.9,20.11,133,100,100,100,0.284,0.249,1.74,37.9
Poland,2020,84.2,20.7,127.3,100,100,100,0.284,0.249,1.74,37.9
Poland,2021,86.7,20.54,127.7,100,100,100,0.005,0.249,1.74,37.8
Portugal,2017,70.2,30.31,113,99.8,99.1,94.3,1.142,0.846,1.43,10.3
Portugal,2018,74.1,32.69,112.1,99.8,99.3,98.8,1.142,0.632,1.53,10.3
Portugal,2019,76.9,34.74,114.3,99.88,99.5,98.9,1.142,1.012,1.55,10.3
Portugal,2020,79.4,36.9,115.6,99.88,99.2,99.2,1.142,1.012,1.55,10.3
Portugal,2021,80.9,38.8,116.5,99.88,99.8,99.8,0.787,1.012,1.55,10.3
Qatar,2017,95.8,9.27,145.8,100,98,95,0.103,0.272,1.06,2.7
Qatar,2018,95.2,9.56,137.6,100,99.64,99.04,0.103,0.309,1.29,2.7
Qatar,2019,94.6,9.42,146.4,100,99.7,99.5,0.103,0.506,1.41,2.8
Qatar,2020,94,9.63,141.9,100,100,99.5,0.103,0.506,1.41,2.8
Qatar,2021,93.6,10.05,138.3,100,100,99.5,0.407,0.506,1.41,2.9
Romania,2017,67.7,21.39,116,99.9,99.9,66.1,0.831,0.466,0.9,19.8
Romania,2018,72.4,22.48,115.7,99.99,99.96,75.2,0.831,0.46,0.86,19.7
Romania,2019,76.5,24.19,114,99.96,99.96,88.54,0.831,0.436,0.82,19.5
Romania,2020,80.9,26.09,116,99.96,99.96,92.56,0.831,0.436,0.82,19.4
Romania,2021,83.6,27.25,117.1,99.96,99.96,98.13,0.118,0.436,0.82,19.2
Russia,2017,72.1,18.54,156.8,89,73,50,0.758,0.585,0.67,148.3
Russia,2018,74.8,18.95,157.7,90,75,59,0.758,0.644,0.74,148.6
Russia,2019,76.3,21.37,156.2,91,77,62,0.758,0.782,0.45,148.8
Russia,2020,76.6,22,157.4,91,78,70,0.758,0.782,0.45,148.9
Russia,2021,76.9,22.52,164.4,98.9,87.7,87.7,0.316,0.782,0.45,149
Rwanda,2017,6.7,0.19,77,99.98,88.01,20,8.42,2.619,155.34,11.7
Rwanda,2018,9.3,0.19,76.5,99.92,92.08,62,3.87,36.624,142.42,12
Rwanda,2019,9.3,0.18,73.6,99.92,93.37,89,4.66,35.103,136.51,12.3
Rwanda,2020,9.3,0.06,78.9,99.92,96.6,96.6,3.393,35.103,136.51,12.6
Rwanda,2021,9.3,0.07,76.5,99.94,98.9,98.9,2.752,35.103,136.51,13
Saudi Arabia,2017,94,19.97,166.5,99.42,97,85,0.559,0.594,2.01,31.8
Saudi Arabia,2018,92.3,19.72,147.7,99.42,97.15,88,0.559,0.652,1.18,32.6
Saudi Arabia,2019,93,20.1,121.5,99.42,98,90,0.559,1.261,1.28,33.4
Saudi Arabia,2020,94.5,20.24,122.6,99.42,98.1,93.1,0.559,1.261,1.28,34.2
Saudi Arabia,2021,99.2,19.85,120.5,99.99,98.86,94.2,0.596,1.261,1.28,35
Senegal,2017,15.7,0.69,102.6,92,40,0,3.87,7.685,27.67,15
Senegal,2018,19.9,0.66,101.3,97.4,50,8.6,5.23,5.577,15.46,15.4
Senegal,2019,24.2,0.73,102.2,97.7,66.29,36.5,4.396,4.026,24,15.8
Senegal,2020,6.6,0.82,104.5,97.9,92.2,62,2.915,4.026,24,16.3
Senegal,2021,6.6,0.93,109.7,98,92.1,66.8,3.114,4.026,24,16.7
Sierra Leone,2017,4,0.49,78.9,90,20,0,51.89,49.678,53.23,7.3
Sierra Leone,2018,10.7,0.55,85.7,90,40.02,0,20.8,41.994,49.16,7.5
Sierra Leone,2019,13.8,0.54,88.5,90,40.02,0,25.861,37.501,37.5,7.7
Sierra Leone,2020,13.8,0.68,83.1,74,50,0,9.858,37.501,37.5,7.8
Sierra Leone,2021,13.8,0.65,86.1,80,60,35,8.24,37.501,37.5,8
Singapore,2017,88.2,26.58,147.2,100,100,100,0.477,0.327,0.66,5.6
Singapore,2018,91.1,28.16,149.7,100,100,100,0.477,0.326,0.49,5.6
Singapore,2019,91.1,25.85,146.8,100,100,100,0.477,0.318,0.8,5.6
Singapore,2020,97.7,25.94,148.8,100,100,100,0.477,0.318,0.8,5.7
Singapore,2021,98.4,25.91,155.6,100,100,100,0.166,0.318,0.8,5.7
Slovakia,2017,79.5,23.43,122.8,100,93,75,1.805,0.752,1.13,5.4
Slovakia,2018,80.5,24.56,128.4,100,94,87,1.805,0.79,1.19,5.4
Slovakia,2019,81.3,25.79,130.7,100,95,92,1.805,0.815,1.22,5.5
Slovakia,2020,80.8,27.65,132.8,100,95,94,1.805,0.815,1.22,5.5
Slovakia,2021,82.2,29.05,135.6,100,97,97,0.317,0.815,1.22,5.5
South Africa,2017,50,2.54,158.9,99.9,98,54,2.35,1.321,2.57,56.2
South Africa,2018,59.8,2.05,146.6,99.6,98,73,2.5,1.119,4.01,57
South Africa,2019,61.8,1.97,155.2,99.97,98.61,77.62,2.301,1.248,2.74,57.8
South Africa,2020,61.8,1.92,159.9,99.97,99.51,90.32,2.175,1.248,2.74,58.6
South Africa,2021,61.8,2.14,165.6,99.97,99.66,94.41,1.453,1.248,2.74,59.3
South Korea,2017,98.8,39.4,116,99.9,99,99,3.689,0.406,1.22,51
South Korea,2018,99.2,40.32,120.2,99.9,99.9,99.9,3.689,0.388,1.4,51.1
South Korea,2019,99.5,41.48,124.6,99.9,99.9,99.9,2.102,0.385,1.39,51.2
South Korea,2020,99.5,41.6,129.7,99.9,99.9,99.9,1.874,0.385,1.39,51.2
South Korea,2021,99.7,42.76,134.5,99.9,99.9,99.9,0.492,0.385,1.39,51.3
Spain,2017,78.9,29.02,109.4,99.8,99.4,91.3,0.388,0.609,1.13,46.6
Spain,2018,82.1,30.26,110.5,99.8,99.6,91.3,0.388,0.627,1.16,46.6
Spain,2019,83.4,31.44,112.6,99.8,99.7,96.2,0.388,0.75,1.2,46.7
Spain,2020,86.4,32.5,116,99.8,99.7,97.8,0.388,0.75,1.2,46.7
Spain,2021,91.4,33.41,118.4,99.8,99.7,99.4,0.28,0.75,1.2,46.8
Sri Lanka,2017,18.1,2.99,114.3,98.96,83,35,0.43,0.519,1.32,21
Sri Lanka,2018,21.1,4.24,122.7,99,85,36,0.4,0.567,1.42,21.1
Sri Lanka,2019,24.4,5.78,133.5,99.72,88,48,0.242,0.485,1.22,21.2
Sri Lanka,2020,24.4,7.27,142.7,99,86,80,0.232,0.485,1.22,21.3
Sri Lanka,2021,24.4,7.81,144.3,99,89,80,0.297,0.485,1.22,21.4
Sudan,2017,32.3,0.07,71.8,89.45,45.73,0,2.6,6.482,2.88,39.8
Sudan,2018,33.6,0.07,69.8,89.7,45.9,30,4.41,6.679,8.83,40.8
Sudan,2019,33.6,0.07,70.2,89.7,45.99,35,0.606,12.242,13.6,41.8
Sudan,2020,33.6,0.08,72,90,46.6,35,0.752,12.242,13.6,42.8
Sudan,2021,33.6,0.08,77.1,90.9,55.5,35,1.121,12.242,13.6,43.8
Sweden,2017,91,35.8,129.4,99.99,99.99,99.99,0.238,0.242,0.9,9.8
Sweden,2018,92,37.41,127.5,100,100,100,0.238,0.255,0.95,9.9
Sweden,2019,94.7,38.92,126.4,100,100,100,0.238,0.262,0.98,10
Sweden,2020,94.7,39.53,126.6,100,100,100,0.238,0.262,0.98,10.1
Sweden,2021,96.1,40.24,128.5,100,100,100,0.251,0.262,0.98,10.1
Switzerland,2017,84.7,44.6,135.5,100,100,98,0.537,0.567,0.49,8.4
Switzerland,2018,86.8,45.06,134.2,100,100,99,0.537,0.579,0.59,8.5
Switzerland,2019,88.6,46.32,131.1,100,100,99,0.537,0.586,0.68,8.5
Switzerland,2020,88.6,45.56,126.5,100,100,99,0.537,0.586,0.68,8.6
Switzerland,2021,91.6,46.9,126,100,100,99,0.278,0.586,0.68,8.7
Taiwan,2017,82,24.01,126,100,100,99.45,0.313,0.816,0.57,23.5
Taiwan,2018,82,24.07,123.8,100,100,99.5,0.313,0.805,0.58,23.6
Taiwan,2019,89.9,24.13,121.6,100,100,99.6,0.313,0.725,0.49,23.6
Taiwan,2020,89,24.13,123.7,100,100,99.9,0.313,0.725,0.49,23.6
Taiwan,2021,86.2,24.53,123.2,100,100,99.9,0.264,0.725,0.49,23.6
Tanzania,2017,5.1,0.21,77,95,85,13,6.25,5.534,27.67,53
Tanzania,2018,8.5,0.6,75.5,95,85,13,5.83,5.114,34.09,54.7
Tanzania,2019,14.4,1.4,73.1,95,85,13,5.76,4.995,23.31,56.3
Tanzania,2020,14.4,1.53,77.2,95,85,13,5.108,4.995,23.31,58
Tanzania,2021,14.4,1.79,82.2,95,85,13,6.53,4.995,23.31,59.7
Thailand,2017,52.2,9.07,149.8,97,97,21,1.19,1.221,3.93,69
Thailand,2018,59.8,10.47,173.5,98,98,98,1.31,1.187,3.82,69.2
Thailand,2019,64.4,11.86,175.6,98,98,98,1.22,0.438,3.8,69.4
Thailand,2020,67.7,13.24,180.2,98,98,98,1.144,0.438,3.8,69.6
Thailand,2021,74.6,14.52,186.2,98,98,98,1.121,0.438,3.8,69.8
Trinidad & Tobago,2017,65,20.33,155,100,75,0,1.524,0.554,1.37,1.4
Trinidad & Tobago,2018,70.9,18.55,157.2,100,75,10,1.524,2.411,1.47,1.4
Trinidad & Tobago,2019,77.5,23.61,146.7,100,75,75,2.285,0.612,1.52,1.4
Trinidad & Tobago,2020,77.5,24.62,141.9,100,100,75,3.646,0.612,1.52,1.4
Trinidad & Tobago,2021,77.5,24.33,155.1,100,100,75,2.855,0.612,1.52,1.4
Tunisia,2017,30.7,5.13,130.6,99,94,0,1.41,1.931,1.27,11.3
Tunisia,2018,37.5,5.66,126.3,99,99,73,1.37,1.192,1.47,11.4
Tunisia,2019,44.5,7.01,125.4,99,99,87,1.238,1.127,1.48,11.6
Tunisia,2020,46,8.77,127.7,99,99,96,1.208,1.127,1.48,11.7
Tunisia,2021,51.5,10.2,126.3,99,99,96,1.305,1.127,1.48,11.8
Turkey,2017,69.5,12.1,93.8,98.51,95.03,0,1.23,0.734,0.89,79.8
Turkey,2018,76.3,13.15,94,99.67,96.04,82.5,0.57,1.599,0.92,81.1
Turkey,2019,80.7,14.7,95.9,99.84,97.38,86.52,0.5,1.358,0.84,82.3
Turkey,2020,83.8,16.28,97.3,99.69,98.32,93.17,0.492,1.358,0.84,83.4
Turkey,2021,88.3,17.06,96.8,99.7,98.56,96.71,0.459,1.358,0.84,84.3
UAE,2017,94.3,13.33,193.7,100,100,95.29,0.74,0.755,1.14,9.4
UAE,2018,94.3,13.86,212.6,100,100,99.6,0.74,0.797,0.56,9.5
UAE,2019,96.9,29.11,209,100,100,99.64,0.74,0.823,0.57,9.6
UAE,2020,98.4,31.4,208.5,100,100,99.73,0.74,0.823,0.57,9.8
UAE,2021,99.1,31.17,200.6,100,100,99.82,0.391,0.823,0.57,9.5
Uganda,2017,7.2,0.21,52.9,91,60,10,15.33,15.615,433.73,39.6
Uganda,2018,8.9,0.23,57.6,93,64,15,16.2,15.545,8.88,41.2
Uganda,2019,10.8,0.02,60.6,93,65,17,8.075,13.472,8.98,42.7
Uganda,2020,10.8,0.02,57.3,98,69.63,57,7.751,13.472,8.98,44.3
Uganda,2021,10.8,0.02,57.4,98,69.63,57,6.385,13.472,8.98,45.5
Ukraine,2017,50.2,11.64,142,99.9,35,0,4.169,1.221,1.22,42.5
Ukraine,2018,54.6,12.03,133.2,99.9,90,1.44,4.169,0.991,1.19,42.4
Ukraine,2019,60.3,12.35,131.4,99.9,90,3,1.355,0.948,1.52,42.2
Ukraine,2020,61.9,12.8,127.8,99.9,90,3,1.276,0.948,1.52,42
Ukraine,2021,61.9,16.16,130.6,99.9,89.1,78.1,0.779,0.948,1.52,41.8
United Kingdom,2017,91.3,37.45,120.3,99.6,99.6,97.8,0.451,0.414,0.41,65.8
United Kingdom,2018,93.5,38.42,119.1,99.6,99.6,98.5,0.451,0.452,0.23,66.7
United Kingdom,2019,89.6,39.03,118.5,99.8,99.6,99.3,0.451,0.448,1.01,67.1
United Kingdom,2020,90.2,39.6,118.4,99.9,99.7,99.7,0.451,0.448,1.01,67.5
United Kingdom,2021,92.9,39.67,119.9,99.9,99.7,99.7,0.403,0.448,1.01,67.9
United States,2017,81.5,31.85,119.1,99.9,99.9,99.6,0.474,0.349,0.35,323
United States,2018,81.9,32.73,122.6,99.9,99.9,99.6,0.474,0.342,0.8,325.1
United States,2019,83.8,33.28,123,99.9,99.9,99.8,0.474,0.663,1.02,327.1
United States,2020,85.3,33.89,129,99.9,99.9,99.9,0.474,0.663,1.02,329.1
United States,2021,85.3,34.72,134.5,99.9,99.9,99.9,0.812,0.663,1.02,331
Uruguay,2017,59.7,26.4,151.4,100,90,50,0.992,0.612,1.38,3.4
Uruguay,2018,61.8,26.92,149.4,100,91,88,0.992,0.584,0.85,3.4
Uruguay,2019,64.3,27.74,148.3,100,91,88,0.992,0.608,0.85,3.4
Uruguay,2020,68.4,28.34,149.9,91,91,86.2,0.992,0.608,0.85,3.4
Uruguay,2021,69.3,29.25,138.1,91,91,82.5,0.921,0.608,0.85,3.5
Uzbekistan,2017,75.2,5.78,70.4,98,43.04,10,3.941,4.615,3.04,31.4
Uzbekistan,2018,79.7,8.73,74,98.4,45.3,16.9,3.941,13.534,2.61,32
Uzbekistan,2019,79.9,10.39,75.9,98.4,75,43,1.833,13.453,2.13,32.5
Uzbekistan,2020,80.4,12.7,71.5,98.6,75.5,44,1.746,13.453,2.13,33
Uzbekistan,2021,80.4,13.94,101.2,99.2,80.7,47.7,1.844,13.453,2.13,33.5
Venezuela,2017,34.7,8.61,96.7,96,90,45,3.51,5.357,2.51,30.8
Venezuela,2018,34,8.76,92.5,96,90.64,67.79,3.51,5.357,2.51,31.2
Venezuela,2019,33.5,8.87,83.3,96,90.64,82,3.51,5.357,3.98,31.6
Venezuela,2020,33.5,9.02,71.8,91,81,64,3.51,5.357,3.98,29.8
Venezuela,2021,33.5,8.98,47.3,92,82,65,3.51,5.357,3.98,28
Vietnam,2017,24.1,8.26,129.8,94,70,0,1.04,3.375,0.56,93.6
Vietnam,2018,25.9,9.72,128.8,94,77.32,5,0.88,3.097,0.56,94.6
Vietnam,2019,27.3,11.91,126.9,99.5,98,95,1.188,3.036,0.51,95.5
Vietnam,2020,46,13.6,147.2,99.6,99.6,93.89,1.074,3.036,0.51,96.5
Vietnam,2021,46,15.35,141.2,99.8,99.8,97,0.967,3.036,0.51,97.3
Zambia,2017,12.7,0.15,72.8,93,53,1.34,12.25,10.614,22,16.4
Zambia,2018,14.3,0.19,73.4,93,53,5.77,12.25,11.041,21.23,16.8
Zambia,2019,16.6,0.21,79.7,93,53,43.41,3.879,12.606,24.24,17.4
Zambia,2020,17.7,0.42,89.2,86.9,76.5,43.41,3.27,12.606,24.24,17.9
Zambia,2021,17.7,0.5,96.4,86.9,71.8,49.1,2.89,12.606,24.24,18.4
Zimbabwe,2017,21.6,1.19,92.3,88.7,55.1,11,44.68,75,14.06,14
Zimbabwe,2018,22.1,1.22,91.8,88.9,55.25,22.64,32.97,32.558,13.95,14.2
Zimbabwe,2019,24,1.32,99,90.09,78.2,34.72,19.78,30.882,13.24,14.4
Zimbabwe,2020,30.3,1.41,89.4,93,84,35,10.056,30.882,13.24,14.6
Zimbabwe,2021,30.3,1.4,90.1,93.4,84.2,35,10.056,30.882,13.24,14.9
