,Country,Region,Latitude,Longitude
136,Sri Lanka,Asia,7.5554942,80.7137847
137,Sudan,Africa,14.5844444,29.4917691
138,Suriname,America,4.1413025,-56.0771187
139,Sweden,Europe,59.6749712,14.5208584
140,Switzerland,Europe,46.7985624,8.2319736
141,Syria,Asia,34.6401861,39.0494106
142,Taiwan,Asia,23.9739374,120.9820179
143,Tajikistan,Asia,38.6281733,70.8156541
144,Tanzania,Africa,-6.5247123,35.7878438
145,Thailand,Asia,14.8971921,100.83273
146,Timor-Leste,Asia,-8.7443169,126.063482
147,Togo,Africa,8.7800265,1.0199765
148,Tonga,Pacific,-19.9160819,-175.202642
149,Trinidad and Tobago,America,10.7466905,-61.0840075
150,Tunisia,Africa,33.8439408,9.400138
151,Turkey,Europe,38.9597594,34.9249653
152,Turkmenistan,Asia,39.3763807,59.3924609
153,Uganda,Africa,1.5333554,32.2166578
154,Ukraine,Europe,49.4871968,31.2718321
155,United Arab Emirates,Asia,24.0002488,53.9994829
156,United Kingdom,Europe,54.7023545,-3.2765753
157,United States,America,39.7837304,-100.445882
158,Uruguay,America,-32.8755548,-56.0201525
159,Uzbekistan,Asia,41.32373,63.9528098
160,Venezuela,America,8.0018709,-66.1109318
161,Vietnam,Asia,15.9266657,107.9650855
162,Yemen,Asia,16.3471243,47.8915271
163,Zambia,Africa,-14.5189121,27.5589884
164,Zimbabwe,Africa,-18.4554963,29.7468414
